secid,date,low,high,open,close,volume,return,cfadj,cfret
108105,2023-04-13,4099.4,4150.26,4100.04,4146.22,0,0.013263,1,1
108105,2023-04-14,4113.2,4163.19,4140.11,4137.64,0,-0.002069,1,1
108105,2023-04-17,4123.18,4151.72,4137.17,4151.32,0,0.003306,1,1
108105,2023-04-18,4140.36,4169.48,4164.26,4154.87,0,0.000855,1,1
108105,2023-04-19,4134.49,4162.57,4139.33,4154.52,0,-0.000084,1,1
108105,2023-04-20,4114.57,4148.57,4130.48,4129.79,0,-0.005953,1,1
108105,2023-04-21,4113.86,4138.02,4132.14,4133.52,0,0.000903,1,1
108105,2023-04-24,4117.77,4142.41,4132.07,4137.04,0,0.000852,1,1
108105,2023-04-25,4071.38,4126.43,4126.43,4071.63,0,-0.015811,1,1
108105,2023-04-26,4049.35,4089.67,4087.78,4055.99,0,-0.003841,1,1
108105,2023-04-27,4075.29,4138.24,4075.29,4135.35,0,0.019566,1,1
108105,2023-04-28,4127.18,4170.06,4129.63,4169.48,0,0.008253,1,1
108105,2023-05-01,4164.12,4186.92,4166.79,4167.87,0,-0.000386,1,1
108105,2023-05-02,4089.72,4164.1,4164.1,4119.58,0,-0.011586,1,1
108105,2023-05-03,4088.86,4148.3,4122.25,4090.75,0,-0.006998,1,1
108105,2023-05-04,4048.28,4082.61,4082.55,4061.22,0,-0.007219,1,1
108105,2023-05-05,4084.73,4147.02,4084.73,4136.25,0,0.018475,1,1
108105,2023-05-08,4123.81,4142.3,4136.98,4138.12,0,0.000452,1,1
108105,2023-05-09,4116.65,4130.35,4124.25,4119.17,0,-0.004579,1,1
108105,2023-05-10,4098.92,4154.28,4143.74,4137.64,0,0.004484,1,1
108105,2023-05-11,4109.29,4132.8,4132.24,4130.62,0,-0.001697,1,1
108105,2023-05-12,4099.12,4143.74,4138.54,4124.08,0,-0.001583,1,1
108105,2023-05-15,4110.27,4141.25,4126.65,4136.28,0,0.002958,1,1
108105,2023-05-16,4109.86,4135.54,4127.95,4109.9,0,-0.006378,1,1
