secid,date,days,volatility,index_flag
101594,2020-11-10,182,0.398539,0
101594,2020-11-10,273,0.517038,0
101594,2020-11-10,365,0.460981,0
101594,2020-11-10,547,0.401235,0
101594,2020-11-10,730,0.390611,0
101594,2020-11-10,1825,0.301796,0
101594,2020-11-11,10,0.341366,0
101594,2020-11-11,14,0.486915,0
101594,2020-11-11,30,0.399637,0
101594,2020-11-11,60,0.416424,0
101594,2020-11-11,91,0.449815,0
101594,2020-11-11,122,0.450234,0
101594,2020-11-11,152,0.421162,0
101594,2020-11-11,182,0.399707,0
101594,2020-11-11,273,0.517447,0
101594,2020-11-11,365,0.461795,0
101594,2020-11-11,547,0.401714,0
101594,2020-11-11,730,0.389282,0
101594,2020-11-11,1825,0.301754,0
101594,2020-11-12,10,0.343498,0
101594,2020-11-12,14,0.460379,0
101594,2020-11-12,30,0.389622,0
101594,2020-11-12,60,0.411659,0
101594,2020-11-12,91,0.448601,0
101594,2020-11-12,122,0.450144,0
101594,2020-11-12,152,0.419259,0
101594,2020-11-12,182,0.399774,0
101594,2020-11-12,273,0.517363,0
101594,2020-11-12,365,0.461764,0
101594,2020-11-12,547,0.40166,0
101594,2020-11-12,730,0.389203,0
101594,2020-11-12,1825,0.301639,0
101594,2020-11-13,10,0.348,0
101594,2020-11-13,14,0.313227,0
101594,2020-11-13,30,0.389609,0
101594,2020-11-13,60,0.405885,0
101594,2020-11-13,91,0.448591,0
101594,2020-11-13,122,0.449527,0
101594,2020-11-13,152,0.417318,0
101594,2020-11-13,182,0.399577,0
101594,2020-11-13,273,0.517362,0
101594,2020-11-13,365,0.461674,0
101594,2020-11-13,547,0.401624,0
101594,2020-11-13,730,0.388602,0
101594,2020-11-13,1825,0.301519,0
101594,2020-11-16,10,0.261886,0
101594,2020-11-16,14,0.308218,0
101594,2020-11-16,30,0.39706,0
101594,2020-11-16,60,0.40639,0
101594,2020-11-16,91,0.448827,0
101594,2020-11-16,122,0.454108,0
101594,2020-11-16,152,0.419546,0
101594,2020-11-16,182,0.398657,0
101594,2020-11-16,273,0.516055,0
101594,2020-11-16,365,0.46162,0
101594,2020-11-16,547,0.4016,0
101594,2020-11-16,730,0.388639,0
101594,2020-11-16,1825,0.301394,0
101594,2020-11-17,10,0.246249,0
101594,2020-11-17,14,0.31899,0
101594,2020-11-17,30,0.38848,0
101594,2020-11-17,60,0.39799,0
101594,2020-11-17,91,0.44887,0
101594,2020-11-17,122,0.45177,0
101594,2020-11-17,152,0.419845,0
101594,2020-11-17,182,0.398748,0
101594,2020-11-17,273,0.515631,0
101594,2020-11-17,365,0.46172,0
101594,2020-11-17,547,0.400708,0
101594,2020-11-17,730,0.388309,0
101594,2020-11-17,1825,0.301376,0
101594,2020-11-18,10,0.238199,0
101594,2020-11-18,14,0.27589,0
